"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"320",8,1,11,3,0.0375,0.825,0.1375
"321",8,1,12,3,0,0.85,0.15
"322",8,1,13,3,0,0.85,0.15
"323",8,1,14,3,0,0.85,0.15
"324",8,1,2,4,0,0.85,0.15
"325",8,1,3,4,0,0,0
"326",8,1,4,4,0,0,0
"327",8,1,5,4,0,0.85,0.15
"328",8,1,6,4,0,0.85,0.15
"329",8,1,7,4,0,0.85,0.15
"330",8,1,8,4,0.0375,0.825,0.1375
"331",8,1,9,4,0,0,0
"332",8,1,10,4,0,0.85,0.15
"333",8,1,11,4,0,0,0
"334",8,1,12,4,0,0,0
"335",8,1,13,4,0,0,0
"336",8,1,14,4,0,0.85,0.15
"337",9,1,10,1,0,0,0
"338",9,1,11,1,0,0,0
"339",9,1,12,1,0,0,0
"340",9,1,13,1,0.0375,0.825,0.1375
"341",9,1,14,1,0.0375,0.825,0.1375
"342",9,1,2,2,0.0375,0.825,0.1375
"343",9,1,3,2,0,0,0
"344",9,1,4,2,0,0,0
"345",9,1,5,2,0.0375,0.825,0.1375
"346",9,1,6,2,0.0375,0.825,0.1375
"347",9,1,7,2,0,0,0
"348",9,1,8,2,0,0,0
"349",9,1,9,2,0.1125,0.775,0.1125
"350",9,1,10,2,0,0,0
"351",9,1,11,2,0,0,0
"352",9,1,12,2,0.0375,0.825,0.1375
"353",9,1,13,2,0.0375,0.825,0.1375
"354",9,1,14,2,0,0,0
"355",9,1,2,3,0,0,0
"356",9,1,3,3,0.075,0.8,0.125
"357",9,1,4,3,0.0375,0.825,0.1375
"358",9,1,5,3,0.0375,0.825,0.1375
"359",9,1,6,3,0.0375,0.825,0.1375
"360",9,1,7,3,0.0375,0.825,0.1375
"361",9,1,8,3,0.0375,0.825,0.1375
"362",9,1,9,3,0.1125,0.775,0.1125
"363",9,1,10,3,0.0375,0.825,0.1375
"364",9,1,11,3,0.075,0.8,0.125
"365",9,1,12,3,0.0375,0.825,0.1375
"366",9,1,13,3,0.0375,0.825,0.1375
"367",9,1,14,3,0.0375,0.825,0.1375
"368",9,1,2,4,0.0375,0.825,0.1375
"369",9,1,3,4,0,0,0
"370",9,1,4,4,0,0,0
"371",9,1,5,4,0.0375,0.825,0.1375
"372",9,1,6,4,0.0375,0.825,0.1375
"373",9,1,7,4,0.0375,0.825,0.1375
"374",9,1,8,4,0.0375,0.825,0.1375
"375",9,1,9,4,0,0,0
"376",9,1,10,4,0.0375,0.825,0.1375
"377",9,1,11,4,0,0,0
"378",9,1,12,4,0,0,0
"379",9,1,13,4,0,0,0
"380",9,1,14,4,0.0375,0.825,0.1375
"381",10,1,11,1,0,0,0
"382",10,1,12,1,0,0,0
"383",10,1,13,1,0,0,0
"384",10,1,14,1,0,0,0
"385",10,1,2,2,0,0,0
"386",10,1,3,2,0,0,0
"387",10,1,4,2,0,0,0
"388",10,1,5,2,0,0,0
"389",10,1,6,2,0,0,0
"390",10,1,7,2,0,0,0
"391",10,1,8,2,0,0,0
"392",10,1,9,2,0,0,0
"393",10,1,10,2,0,0,0
"394",10,1,11,2,0,0,0
"395",10,1,12,2,0,0,0
"396",10,1,13,2,0,0,0
"397",10,1,14,2,0,0,0
"398",10,1,2,3,0,0,0
"399",10,1,3,3,0,0,0
"400",10,1,4,3,0,0,0
"401",10,1,5,3,0,0,0
"402",10,1,6,3,0,0,0
"403",10,1,7,3,0,0,0
"404",10,1,8,3,0,0,0
"405",10,1,9,3,0,0,0
"406",10,1,10,3,0,0,0
"407",10,1,11,3,0,0,0
"408",10,1,12,3,0,0,0
"409",10,1,13,3,0,0,0
"410",10,1,14,3,0,0,0
"411",10,1,2,4,0,0,0
"412",10,1,3,4,0,0,0
"413",10,1,4,4,0,0,0
"414",10,1,5,4,0,0,0
"415",10,1,6,4,0,0,0
"416",10,1,7,4,0,0,0
"417",10,1,8,4,0,0,0
"418",10,1,9,4,0,0,0
"419",10,1,10,4,0,0,0
"420",10,1,11,4,0,0,0
"421",10,1,12,4,0,0,0
"422",10,1,13,4,0,0,0
"423",10,1,14,4,0,0,0
"424",11,1,12,1,0,0,0
"425",11,1,13,1,0,0,0
"426",11,1,14,1,0,0,0
"427",11,1,2,2,0,0,0
